AttribuutID	Attribuut	BovenliggendAttribuut	TypeAttribuut	Datatype
1638	15499	null	14482	14587
1639	15502	null	14482	14583
1640	15501	null	14482	14583
1641	15500	null	14482	14586
1642	15534	null	14482	14587
1643	14998	null	14482	14583
1644	15542	null	14481	14578
1645	15578	null	14481	14578
1646	16517	null	14481	14578
1647	16516	null	14481	14578
1648	16532	null	14482	14586
1649	16558	null	14482	14586
1650	16555	null	14482	14586
1651	16556	null	14482	14586
1652	16559	null	14482	14586
1653	16557	null	14482	14586
1654	16554	null	14482	14587
1655	16553	null	14482	14587
1656	16560	null	14482	14587
1657	16552	null	14482	14587
1658	16561	null	14482	14587
1659	16562	null	14482	14587
1660	16563	null	14482	14586
1661	16564	null	14486	14580
1662	16565	null	14482	14587
1663	16566	null	14481	14578
1664	16577	null	14482	14587
1666	16579	null	14481	14578
1667	16589	null	14486	14580
1668	16588	null	14481	14578
1669	16590	null	14481	14578
1670	16602	null	14481	14578
1671	16607	null	14481	14578
1672	16614	null	14482	14587
1673	16613	null	14482	14587
1674	16612	null	14482	14587
1675	16611	null	14482	14587
1676	16616	null	14482	14587
1677	16629	null	14481	14578
1684	16637	null	14482	14583
1685	16638	null	14482	14583
1687	16639	null	14482	14583
1688	16640	null	14481	14578
1689	16674	null	14484	14578
1690	16676	null	14482	14585
1691	16691	null	14482	14583
1694	16695	null	14482	14583
1695	16696	null	14486	14580
1696	16725	null	14481	14578
1697	16749	null	14486	14580
1698	16759	null	14482	14579
1699	16760	null	14481	14578
1700	16765	null	14484	14578
1701	16778	null	14482	14585
1702	16779	null	14482	14585
1703	16777	null	14481	14578
1704	16794	null	14482	14587
1705	16786	null	14482	14583
1706	16787	null	14481	14578
1707	16798	null	14482	14587
1708	16799	null	14486	14580
1709	16834	null	14484	14578
1710	16836	null	14484	14578
1711	16846	null	14486	14580
1712	16849	null	14482	14587
1713	16900	null	14484	14578
1714	16910	null	14484	14578
1715	16924	null	14486	14580
1718	16930	null	14482	14583
1719	16927	null	14482	14583
1720	16945	null	14482	14583
1721	16946	null	14482	14587
1722	17016	null	14486	14580
1723	17017	null	14481	14578
1725	17023	null	14484	14578
1726	17049	null	14482	14587
1727	17053	null	14481	14578
1728	17056	null	14481	14578
1729	17055	null	14481	14578
1730	17178	null	14484	14578
1731	17182	null	14482	14587
1732	17183	null	14482	14587
1733	17184	null	14481	14578
