KlasseID	Klasse	Volgorde
2063	16541	11
2064	16540	11
2065	16539	11
2066	16538	11
2067	16537	11
2068	16536	11
2069	16535	11
2070	16534	11
2071	16547	11
2072	16548	8
2073	16549	11
2074	16550	11
2075	16617	11
2076	16618	11
2077	16619	11
2078	16622	11
2079	16623	9
2080	16626	11
2081	16627	11
2083	16727	11
2084	16729	11
2085	15531	11
2086	16751	11
2087	16753	11
2088	16754	11
2089	16755	9
2090	16756	10
2091	9387	11
2092	16767	11
2093	16775	11
2094	16776	11
2095	16854	11
2097	16864	11
2098	16863	11
2099	16862	11
2100	16861	11
2101	16860	11
2103	16867	11
2104	16868	11
2105	16870	11
2106	16871	11
2962	16923	31
2963	8304	32
2964	15044	32
2965	15045	32
2966	15046	32
2967	15047	32
2968	15048	32
2969	15049	32
2970	15050	32
2971	15051	32
2972	15052	32
2973	15053	32
2974	14014	32
2975	15054	32
2976	15055	32
2977	8387	21
2978	8388	21
2979	8389	21
2980	8390	21
2981	8391	21
2982	8392	21
2983	8393	21
2984	8394	21
2985	8395	21
2986	8396	21
2987	8397	21
2988	8398	21
2989	15056	32
2990	15057	32
2991	15058	32
2992	15059	32
2993	15060	32
2994	15061	32
2995	15014	32
2996	15062	32
2997	15063	32
2998	8276	32
2999	15064	32
3000	15065	32
3001	15066	32
3002	15067	32
3003	15068	32
3004	15069	32
3005	15070	32
3006	8277	32
3007	9783	32
3008	8312	32
3009	8399	21
3010	8400	21
3011	8401	21
3012	8402	21
3013	8403	21
3014	8404	21
3015	11347	21
3016	8405	21
3017	15071	32
3018	15072	32
3019	15073	32
3020	8279	32
3021	16877	32
3022	15074	32
3023	8280	32
3024	15075	32
3025	8289	32
3026	15076	32
3027	8346	32
3028	8286	32
3029	9784	32
3030	14002	32
3031	8297	32
3032	8406	21
3033	8407	21
3034	15042	21
3035	16730	21
3036	15017	21
3037	16737	21
3038	8408	21
3039	9772	32
3040	9785	32
3041	8281	32
3042	15077	32
3043	8409	21
3044	11345	21
3045	11348	21
3046	8410	21
3047	8411	21
3048	16738	21
3049	15078	32
3050	15018	21
3051	8413	21
3052	8414	21
3053	8415	21
3054	15043	21
3055	8416	21
3056	15019	21
3057	8418	21
3058	8419	21
3059	8420	21
3060	11309	21
3061	9909	21
3062	15079	32
3063	15080	32
3064	8421	21
3065	11259	21
3066	8422	21
3067	9702	32
3068	8423	21
3069	8424	21
3070	9910	21
3071	8425	21
3072	16795	32
3073	16797	32
3074	8303	32
3075	16796	32
3076	9911	21
3077	8426	21
3078	8427	21
3079	8428	21
3080	15020	21
3081	8430	21
3082	8431	21
3083	8432	21
3084	8433	21
3085	16736	21
3086	8434	21
3087	15081	32
3088	8435	21
3089	8436	21
3090	15082	32
3091	8285	32
3092	8437	21
3093	8438	21
3094	8439	21
3095	15021	21
3096	8441	21
3097	8442	21
3098	15022	21
3099	8444	21
3100	8445	21
3101	8446	21
3102	8447	21
3103	8448	21
3104	8449	21
3105	8450	21
3106	16739	21
3107	16731	21
3108	15023	21
3109	8452	21
3110	8453	21
3111	15024	21
3112	16740	21
3113	8455	21
3114	15025	21
3115	8457	21
3116	8458	21
3117	15026	21
3118	8460	21
3119	9912	21
3120	8461	21
3121	8462	21
3122	8463	21
3123	8464	21
3124	8465	21
3125	8466	21
3126	15083	32
3127	16703	21
3128	15084	32
3129	15085	32
3130	8294	32
3131	15086	32
3132	15087	32
3133	15088	32
3134	15089	32
3135	15090	32
3136	8467	21
3137	8468	21
3138	8469	21
3139	15265	32
3140	9696	32
3141	8341	32
3142	8470	21
3143	8471	21
3144	15027	21
3145	8473	21
3146	10103	21
3147	9913	21
3148	8474	21
3149	8475	21
3150	8476	21
3151	11346	21
3152	16704	21
3153	15035	21
3154	8477	21
3155	10187	32
3156	15091	32
3157	8478	21
3158	8479	21
3159	15028	21
3160	15092	32
3161	8295	32
3162	8481	21
3163	15029	21
3164	10487	21
3165	15093	32
3166	15094	32
3167	15095	32
3168	15096	32
3169	8483	21
3170	8484	21
3171	11312	21
3172	11313	21
3173	8485	21
3174	8486	21
3175	8487	21
3176	15097	32
3177	15098	32
3178	15099	32
3179	15100	32
3180	15101	32
3181	16878	32
3182	16909	32
3183	16872	32
3184	16879	32
3185	15102	32
3186	16874	32
3187	16880	32
3188	15103	32
3189	15104	32
3190	10222	21
3191	8488	21
3192	8489	21
3193	8490	21
3194	8491	21
3195	8492	21
