KlasseAttribuutID	IMBORGUID	Klasse	Multipliciteit	Attribuut	Informatiemodel	Eenheid	Enumeratietype	OAGBD
2876	1c2e4aa8-3e31-41f5-a793-733b05dcad79	291	15167	959	4	null	15708	O
2877	ecef45bc-25e3-4dc7-8f4a-35845f48c64b	291	15167	466	4	14488	null	O
2878	e377055c-30b8-4874-9491-010b5153d1cb	291	15167	375	4	null	15709	O
2879	fc98ce65-c891-4866-a882-f57fca048ded	27	15167	375	4	null	15710	O
2881	541cc148-dd22-4e6f-ab59-605c89fca2ff	1083	15167	957	4	null	15711	A
2887	a2ad5101-7626-4221-b75a-3c09bf8d495a	5	15167	954	4	null	15712	O
2888	8c47f98f-daa9-406c-a349-48e642916a14	274	15167	953	4	null	15713	A
2895	2cce6331-7900-43c6-97f0-541db3ca08b4	7757	15167	375	4	null	15714	O
2896	613e2390-fc02-42e3-a59d-393889a061df	169	15168	722	4	null	15715	O
2897	0730100a-f0be-4433-bb5c-3064c255d377	263	15168	722	4	null	15716	O
2898	da12db25-aba9-4094-86da-118da07eafd3	84	15168	722	4	null	15717	O
2899	e8b86f1e-b653-4571-91da-f73523651b42	282	15168	722	4	null	15718	O
2900	4f002c7f-29d2-427e-9d7e-b1d79f6addb3	74	15168	722	4	null	15719	O
2913	a11cf5cb-7866-4fc7-9ebc-e72f5522d8b3	1083	15167	563	4	null	null	O
2918	990c0139-28df-41f5-a7cd-54f40346ca79	84	15167	566	4	14496	null	O
2919	a5c844bd-0fc8-466e-a4fc-cde808829c30	84	15167	565	4	14496	null	O
2920	837ee309-99c4-4fe6-82cb-5175e32bea18	282	15167	566	4	14496	null	O
2921	096a4f05-84cc-4b0e-bd24-839771ec03f5	282	15167	565	4	14496	null	O
2922	8497aae7-3a8f-4dd3-9fc8-4985ddfed6ce	74	15167	566	4	14496	null	O
2923	6b2e9a3e-a1e2-48f3-9da7-821d40891f97	74	15167	565	4	14496	null	O
2926	cd7c738e-aa41-4ede-a811-668d25444ec9	14	15167	572	4	14488	null	O
2927	9b30a775-f3ae-4dc4-a95e-1373ce37a073	14	15167	573	4	14488	null	O
2928	e2b52803-2c32-4ec3-ba2e-62a4bcfd6bc2	14	15167	375	4	null	15721	O
2932	bee84038-4bbf-46ef-8fc2-9e3e459603d6	183	15167	375	4	null	15722	O
2933	d3049961-95dc-486b-ae1e-8bb585a3bf1d	84	15167	572	4	14488	null	O
2934	7e2b536d-4a34-4fd4-9ecf-c807d0f456a4	84	15167	573	4	14488	null	O
2943	47733ff4-3a09-471f-bb0f-a7e5bd8f30af	282	15167	572	4	14488	null	O
2944	1e6a93b7-813a-4ce2-a406-b8daf6f4506c	282	15167	573	4	14488	null	O
2945	1285b98d-1caa-4147-b033-5e1248a67b5a	282	15167	375	4	null	15723	O
2954	0289787f-871d-4a6f-a82b-2a9cfb6067a4	74	15167	572	4	14488	null	O
2955	996b9c78-f93c-4608-a1fc-a7fa51e250a4	74	15167	573	4	14488	null	O
2969	5edd7218-9034-4d34-a1db-6c11d9c2fb47	9766	15167	567	4	null	null	B
2975	86575644-7214-4dea-bcbf-ed15d3e84c0c	9766	15167	423	4	null	15724	B
2978	83a78b1e-59e9-4fad-b5c5-8c2c41829e5d	9766	15167	570	4	14491	null	O
2988	e655a5f2-597a-4900-89b7-646d31b50186	100	15167	952	4	null	null	O
2990	b83c68fc-c065-4a5c-b3dc-7b9889c7de2e	332	15167	951	4	null	null	O
2991	391bab75-9782-4c41-8753-4bb35a27c49a	277	15167	950	4	14488	null	O
2992	5f6dd5d2-43f6-4db5-abb5-41d1b5baa423	15	15167	950	4	14488	null	O
2993	e13acbd3-d8fe-4ee9-bbec-8ea6785b9c34	277	15167	572	4	14488	null	O
2994	2bea74ee-880e-437e-b57b-d747403dec2b	15	15167	572	4	14488	null	O
2997	ef8fa067-b832-436b-af17-ce5968fc652a	141	15167	949	4	15574	null	O
2998	be435e2b-4ccc-4fda-8449-6f8e9f307286	141	15167	947	4	null	null	O
3000	8299cf34-dbf2-4776-a357-a5f9209b053d	59	15167	376	4	null	15729	O
3001	5f899f1c-ae2d-4fab-8d30-b61b1cff7860	59	15167	375	4	null	15730	O
3002	d0ec17bf-2566-4126-8f54-91c5b37c22ef	59	15167	945	4	null	15731	O
3003	2258d1ca-09d3-42a4-bc97-3919b7f14ede	59	15167	944	4	14488	null	O
3008	903ab3db-2eb3-42ce-89a4-e79f4558f0ff	231	15167	464	4	null	15732	O
3009	246bc230-79c1-42ca-8baf-c893c00e317e	79	15167	940	4	null	null	O
3013	4b2f4286-812d-4197-a5fa-74e2c82fc1df	14807	15167	475	4	null	null	O
3018	83dc28d6-fa4f-4c89-b270-dac2ee9779ac	14807	15167	844	4	null	15734	O
3023	1a8c6f5c-5374-49c9-afc7-450c7225dff9	99	15167	937	4	14491	null	O
3024	27f1704f-a550-47a6-8e43-d23c674226a0	99	15167	516	4	14491	null	O
3026	53a18d35-0c24-4c10-bf88-617b40e09fc6	78	15168	354	4	null	15735	O
3027	91744fad-c164-4e13-a6ef-a1cf70c459e3	78	15167	935	4	null	null	B
3028	f64efea2-9099-4142-a5ad-f3cd49d15747	78	15167	934	4	null	null	B
3029	925642c2-8272-4aae-a3e8-37722b633c25	78	15167	933	4	null	null	B
3030	72620b2a-21f1-4c67-a758-fbbf33094b83	78	15167	932	4	null	null	D
3031	1b4d9a54-5e0c-4799-a336-1cc7dc732f8e	78	15167	931	4	null	null	B
3032	807aff98-ee7b-4784-8587-669313da36ee	77	15168	354	4	null	15737	O
3033	6b744689-45a4-4c31-95d0-1c47d659ea7d	1089	15167	599	4	14489	null	O
3034	bc088a08-dbcb-4eca-97f2-4862f38ed335	79	15167	929	4	14488	null	B
3035	ad3ae80e-77af-4684-8181-6bd88505c26a	79	15167	930	4	14517	null	O
3036	e6616b24-f46d-446a-b5eb-ab98fad20339	79	15167	466	4	14488	null	O
3037	4f478eb2-8a7e-44dd-814b-1428973f5bce	79	15167	908	4	14488	null	O
3038	828f16a3-9238-4230-b9d3-95d93fca14d1	79	15168	354	4	null	15738	O
3039	91892d78-fcc3-4a56-ad62-afb67166cbc6	79	15167	928	4	null	null	B
3040	c88331cf-c1fb-4b00-89b2-d7b2463ed7b1	79	15167	927	4	null	null	O
3041	f5917025-b496-47ec-ad87-bdde99fbace9	79	15167	585	4	null	null	B
3042	be9d55d2-a430-4596-9a10-226b1ff4c689	79	15167	395	4	null	15742	O
3043	d25c7d53-d544-4132-b5b4-0af0b5c00a43	79	15167	926	4	null	null	O
3059	9966d103-5237-4962-9d0f-74711f095861	15	15167	376	4	null	15744	O
3060	0191de8c-1350-44f1-a3bd-51b7d41e8c9b	277	15167	376	4	null	15745	O
3061	f1a909c5-87ac-4ead-9321-6ec2a552780c	277	15167	375	4	null	15746	O
3062	042287b9-a860-417e-ab64-3d0befeaf9cf	15	15167	375	4	null	15747	O
3063	6fd48747-c114-4311-9246-ab88eaf2f4b8	181	15167	375	4	null	15748	O
3065	4a94143b-ad3e-458f-86a8-707ccb826821	141	15167	919	4	null	null	O
3066	45f57ea0-2515-4085-9327-3579c55eff0f	141	15167	918	4	14497	null	O
3067	7194a3c2-8721-48b3-b831-76a74e297847	141	15167	917	4	null	15750	B
3068	de56de83-8fce-4d9e-b5a5-f37525961299	141	15167	916	4	null	null	B
3070	b3f4daea-258a-4dba-bd5a-42f11bf36bde	141	15167	375	4	null	15751	O
3073	ff9f7e19-cbc8-42e1-b713-aa05f6851eb8	141	15167	912	4	null	15753	O
3074	74ee1271-71b2-4a58-87e6-9d24052c32ec	5	15167	910	4	14497	null	O
3075	4aa1b97d-8db8-42e4-a88d-2b32a5fc200f	5	15167	375	4	null	15754	O
3076	03e033e4-d502-4b94-86e4-ffa0b828b031	8922	15167	909	4	null	null	B
3077	c519f033-7842-4048-ad87-c525bf2e9b93	8922	15167	908	4	14488	null	O
3078	445fdc9f-42ed-41d0-b247-3e96512affae	8922	15167	907	4	14488	null	O
3079	182d1558-e215-4b4a-930d-0f0c2f41068f	8922	15167	906	4	14490	null	B
3080	2f78dd7a-1085-4071-9243-8fbfdb4ca0f4	8922	15167	905	4	14488	null	B
3081	5feba6fe-a73c-46eb-89d8-d268173c6c76	8922	15167	904	4	14488	null	B
3084	ccfbf140-9031-41cf-a25f-990472dfec02	236	15167	335	4	14488	null	O
3085	6cc54ba9-dfc6-450a-b631-ff092c933d11	236	15167	347	4	14488	null	O
3097	fa645bbe-cc69-4b87-964a-dad2842196e4	28	15167	644	4	null	15756	B
