KlasseAttribuutID	IMBORGUID	Klasse	Multipliciteit	Attribuut	Informatiemodel	Enumeratietype	OAGBD	Wijzigingsdatum	Toelichting	Eenheid
2685	9da287c8-c896-4a4d-98bb-f1177193e422	1088	15167	881	4	15675	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2686	60e0a285-8e82-4862-9a13-2c45f2413b21	1088	15167	844	4	23172	O	Wed Nov 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2694	06e58717-f4ad-466f-9005-c39cc6f4beb3	14992	15167	877	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2697	6b521867-d7c9-4978-aa4c-ec40e3d48580	14446	15167	450	6	15678	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2699	d556fbc5-2036-4159-8b7f-e2dd5d76d66a	14446	15167	453	6	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2701	86892f45-c41b-4baf-bf2f-4899bb2b2c9b	14446	15167	452	6	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2703	8a17ef70-2dc2-4c91-bea2-2acb34c552fb	1088	15167	485	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2712	a1285315-2b26-400e-8577-76e9a72fd08c	1090	15167	486	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2713	7b4be298-4d30-41f9-9378-5d4025c23f72	1090	15167	464	4	15679	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2714	40ecf62c-5d56-4ad7-a388-a50d46bffb85	1090	15167	896	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2728	6a5d63e9-ad50-4c0c-b09b-97b09582aa1e	1090	15167	485	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2730	45987f98-c16d-4e37-9cdd-add939160fa7	1090	15167	494	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2759	f5eb98ef-8560-4a00-a6a1-3686bf55c3b6	73	15167	533	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23033
2765	c95888c3-e314-467d-b0ff-97d2ea42f5bf	115	15167	467	3	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23054
2777	00910ff5-f2c7-4f22-ad64-787552e3dd38	216	15167	872	3	15693	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2779	c9a05d43-eadd-48a5-a9cc-158217be09ec	12100	15167	852	3	null	O	Fri Jun 20 2025 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23056
2780	b9419aad-20b9-4a21-9fb5-5a425665a780	216	15167	870	3	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23041
2781	34d7ed24-3efb-4610-80d5-dfc62250ec9e	216	15167	871	3	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23041
2798	1422ae2a-2433-4726-b61b-2aa251a14573	216	15167	500	3	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2799	e83c4f9c-5165-4a39-b720-0d78bc59a032	216	15167	499	3	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2800	a5067fbe-2c94-4e09-b4e1-8ad79b2d3a73	216	15167	501	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23033
2801	7ad9fafd-6eb1-4853-9b23-2e8f0e7003d4	216	15167	498	3	null	B	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2803	57345c69-f9b0-4c13-bf45-7b678c00ba91	216	15167	497	3	null	B	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2835	48448e72-3477-4d88-aefd-fb572ad1957f	63	15167	375	3	15699	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2836	a7906a09-0592-4cb3-906e-9ac256a426fe	63	15167	467	3	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23054
2848	f56efccc-1633-40b5-bf36-1916d6b992a3	187	15167	973	4	15702	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2855	36e19e43-8773-4553-acbe-153cfb8b7e9e	265	15167	969	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23048
2856	21c39ff6-a9b8-48b6-b082-aa05c06a0505	141	15167	968	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2859	1a831753-4c2d-4b69-8dda-598576fd3718	187	15167	966	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2860	053aa7e2-baaf-4a48-a88b-3c83849f69df	141	15167	965	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23035
2861	5c43e7bf-849a-461d-872f-9f04b30699f0	141	15167	653	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23035
2862	e0f2521f-27fb-4850-adcd-97d379a9d345	15	15167	964	4	15705	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2870	23fa0267-230c-4759-97e3-fe57074cd2b5	141	15167	961	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2875	19c89623-9d3e-4570-8a67-eb788adb6ca7	291	15167	958	4	15707	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2876	1c2e4aa8-3e31-41f5-a793-733b05dcad79	291	15167	959	4	16485	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2878	e377055c-30b8-4874-9491-010b5153d1cb	291	15167	375	4	15709	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2918	990c0139-28df-41f5-a7cd-54f40346ca79	84	15167	566	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23037
2919	a5c844bd-0fc8-466e-a4fc-cde808829c30	84	15167	565	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23037
2920	837ee309-99c4-4fe6-82cb-5175e32bea18	282	15167	566	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23037
2921	096a4f05-84cc-4b0e-bd24-839771ec03f5	282	15167	565	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23037
2922	8497aae7-3a8f-4dd3-9fc8-4985ddfed6ce	74	15167	566	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23037
2923	6b2e9a3e-a1e2-48f3-9da7-821d40891f97	74	15167	565	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23037
2926	cd7c738e-aa41-4ede-a811-668d25444ec9	14	15167	572	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2927	9b30a775-f3ae-4dc4-a95e-1373ce37a073	14	15167	573	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2928	e2b52803-2c32-4ec3-ba2e-62a4bcfd6bc2	14	15167	375	4	15721	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2933	d3049961-95dc-486b-ae1e-8bb585a3bf1d	84	15167	572	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2934	7e2b536d-4a34-4fd4-9ecf-c807d0f456a4	84	15167	573	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2943	47733ff4-3a09-471f-bb0f-a7e5bd8f30af	282	15167	572	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2944	1e6a93b7-813a-4ce2-a406-b8daf6f4506c	282	15167	573	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2945	1285b98d-1caa-4147-b033-5e1248a67b5a	282	15167	375	4	15723	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2954	0289787f-871d-4a6f-a82b-2a9cfb6067a4	74	15167	572	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2955	996b9c78-f93c-4608-a1fc-a7fa51e250a4	74	15167	573	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2969	5edd7218-9034-4d34-a1db-6c11d9c2fb47	9766	15167	567	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2978	83a78b1e-59e9-4fad-b5c5-8c2c41829e5d	9766	15167	570	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23034
2990	b83c68fc-c065-4a5c-b3dc-7b9889c7de2e	332	15167	951	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2991	391bab75-9782-4c41-8753-4bb35a27c49a	277	15167	950	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2992	5f6dd5d2-43f6-4db5-abb5-41d1b5baa423	15	15167	950	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2997	ef8fa067-b832-436b-af17-ce5968fc652a	141	15167	949	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23058
2998	be435e2b-4ccc-4fda-8449-6f8e9f307286	141	15167	947	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3002	d0ec17bf-2566-4126-8f54-91c5b37c22ef	59	15167	945	4	15731	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3009	246bc230-79c1-42ca-8baf-c893c00e317e	79	15167	940	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3013	4b2f4286-812d-4197-a5fa-74e2c82fc1df	14807	15167	475	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3018	83dc28d6-fa4f-4c89-b270-dac2ee9779ac	14807	15167	844	4	23172	O	Wed Nov 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3023	1a8c6f5c-5374-49c9-afc7-450c7225dff9	99	15167	937	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23034
3027	91744fad-c164-4e13-a6ef-a1cf70c459e3	78	15167	935	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3028	f64efea2-9099-4142-a5ad-f3cd49d15747	78	15167	934	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3029	925642c2-8272-4aae-a3e8-37722b633c25	78	15167	933	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3033	6b744689-45a4-4c31-95d0-1c47d659ea7d	1089	15167	599	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
3039	91892d78-fcc3-4a56-ad62-afb67166cbc6	79	15167	928	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3043	d25c7d53-d544-4132-b5b4-0af0b5c00a43	79	15167	926	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3063	6fd48747-c114-4311-9246-ab88eaf2f4b8	181	15167	375	4	15748	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3065	4a94143b-ad3e-458f-86a8-707ccb826821	141	15167	919	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3066	45f57ea0-2515-4085-9327-3579c55eff0f	141	15167	918	4	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23040
3067	7194a3c2-8721-48b3-b831-76a74e297847	141	15167	917	4	15750	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3068	de56de83-8fce-4d9e-b5a5-f37525961299	141	15167	916	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3070	b3f4daea-258a-4dba-bd5a-42f11bf36bde	141	15167	375	4	15751	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3073	ff9f7e19-cbc8-42e1-b713-aa05f6851eb8	141	15167	912	4	15753	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3075	4aa1b97d-8db8-42e4-a88d-2b32a5fc200f	5	15167	375	4	15754	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
3077	c519f033-7842-4048-ad87-c525bf2e9b93	8922	15167	908	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
