refDomeinwaardeID	refDomeinwaardeGUID	refInformatiemodel	refAttribuut	refDomeinwaarde	refBovenliggendeWaarde	URI	Definitie	Toelichting	Wijzigingsdatum
165	94d52cf8-868d-4737-bd57-873cf89923ac	5	22	geluidskast	Kast	null	Boven- of ondergronds object met een permanent karakter geschikt voor obstakelvrije behuizing van elektra- of regelinstallaties of wateraansluitingen voor toepassingen buiten inclusief sloten en deuren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
166	61080603-3908-42a4-8009-2443501aba35	5	31	geluidsscherm	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
167	a2e80c07-c621-4acc-b49b-1b0ec5e3a2d3	5	31	geluidsscherm (OS)	OverigeScheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
168	0aa87db5-177f-4500-8b71-37a5321e6f12	5	19	gemaal	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
169	d36173b2-90a1-4640-bbd8-a8b9e8291c6b	5	22	gemeente	FunctioneelGebied	null	Begrenzing van de gemeente.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
170	3c538507-4d6f-4eff-b48d-69fdfffebf93	5	15	gemengd bos	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
171	12469204-e8fa-48c2-831d-b413fd2fee99	5	15	gesloten verharding	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
172	6397ba56-ef65-438a-99c3-4de0e68604d5	5	22	gevelgroen	VegetatieObject	null	Geheel van planten dat men tegen gevels aan laat groeien, meestal om esthetische of ecologische redenen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
173	f4604dfa-e27d-42a3-922d-1ff8c0f21d41	5	21	glas	gesloten verharding	null	Elementenverharding bestaande uit glaselementen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
174	6a9ecf2e-3948-43fe-87f1-851dc0efbd90	5	22	glasvezelstation	Pand	null	Basisstation voor de aansluiting van gebouwen op het glasvezelnetwerk.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
175	a4999551-1e18-419e-b99d-5bfc36e4abf4	5	31	GMS kast	Kast	null	null	null	Tue Nov 14 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
176	6d80ee07-d0c0-49c0-8269-12fe91cc1376	5	31	GMS sensor	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
177	c1be5cd5-4393-4f4d-862a-0e0cf79e97d2	5	22	gootstrook	Weginrichtingselement	null	 In de berm aangebrachte verharde open afvoer voor hemelwater. Er is een verschil met een molgoot: een gootstrook ligt altijd in de berm. Soms gaat een molgoot over in een gootstrook.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
