VocabulairID	VocabulairGUID	IMBORGUID	Collectie	Term	KlasseType	Synoniem	Definitie	Toelichting	Wijzigingsdatum	URI
180	31ee20a7-ddab-4824-b6ea-3382b180517a	0f4911ed-dc03-4841-abfc-4ac29182c557	2	Opvangzone	14796	null	Oppervlak waarop de gebruiker terecht komt na het vallen door de valruimte. Het is het gebied rondom een speeltoestel waar bodemmateriaal met schokdempende eigenschappen moet liggen. De vereiste afmetingen van de opvangzone zijn afhankelijk van de vrije valhoogte van het speeltoestel.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/0F4911ED-DC03-4841-ABFC-4AC29182C557
220	11d197e5-8164-4956-85e5-2a3c75f364b8	1bda1e91-863b-4747-bfa4-6cbaec2271d3	2	Routepaal	14796	null	Paal(tje) met routes van het fietsroutenetwerk in de paal aangebracht of aan de paal bevestigd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/1BDA1E91-863B-4747-BFA4-6CBAEC2271D3
221	80a3e9d7-2b02-449a-857f-ff01069c01c5	23b83e52-ee57-4846-9757-4420933ae935	2	Scheepvaartbord	14796	null	Bord waarop een scheepvaartteken is aangebracht en waarvan de uitvoering als richtlijn is voorgeschreven volgens Richtlijnen Scheepvaarttekens RST 2008.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/23B83E52-EE57-4846-9757-4420933AE935
222	6b8962b0-89bc-4722-bc96-2c9af656165a	9ffb6458-19ca-4f64-bc9d-49f764a7b5ce	2	Schoolzonepaal	14796	null	Kleurrijke paal met of zonder bord om een schoolzone of oversteekplaats bij een school te markeren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/9FFB6458-19CA-4F64-BC9D-49F764A7B5CE
223	a65a61d1-2a30-465d-8b27-910ac9c1771b	bee195e1-3557-4d82-a96a-446487085929	2	Sirene	14796	null	Apparaat dat geluiden van variabele toonhoogte kan voortbrengen met als functie waarschuwingsdoeleinden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/BEE195E1-3557-4D82-A96A-446487085929
224	be5f2252-e7f6-44c2-9715-c9778c87f1cc	d62f423b-292c-4b1d-bd02-ecb74f11d4fd	2	Slagboominstallatie	14796	null	Boom of balk om de weg of een gedeelte daarvan af te sluiten inclusief de bijbehorende installatie om de boom te bedienen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/D62F423B-292C-4B1D-BD02-ECB74F11D4FD
225	1fdb7f3b-ab55-4868-bc56-86854985fec8	c44cafdb-ad20-467f-9ef1-061e98108690	2	Slokop	14796	null	Een regelvoorziening voor het laten wegstromen van overtollig hemelwater bij een infiltratievoorziening.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/C44CAFDB-AD20-467F-9EF1-061E98108690
226	10f4ea25-70d7-4e3a-9a05-d7be8dfb0e36	b193d52e-0243-4e0e-9f90-236edb35c624	2	Sluis	14796	null	Kunstwerk met een beweegbare waterkering, dat de verbinding vormt tussen twee wateren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/B193D52E-0243-4E0E-9F90-236EDB35C624
227	ed35af70-be68-42f3-92b6-6df805e9f3a4	8ecfb6e8-cba3-4aee-ab92-ff1789258abb	2	Snellaadstation	14796	null	Infrastructuurelement, doorgaans langs autosnelwegen, dat in elektrische energie voorziet om elektrische plug-invoertuigen op te laden in een relatief korte tijd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/8ECFB6E8-CBA3-4AEE-AB92-FF1789258ABB
228	c5604ff2-fb73-4ebb-b270-cf5fcd7c0b34	f349d291-f25b-4258-a008-00082f932be9	2	Solitaire plant	14796	null	Plant, heester of siergras, te beheren als solitair beplantingselement.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/F349D291-F25B-4258-A008-00082F932BE9
