DID	D	Informatiemodel	Enumeratie
375	Stankscherm	3	StankafsluiterVerschijningsvorm
376	Stedelijk gebied	3	WaterbeheergebiedVerschijningsvorm
377	Straatkolk	3	KolkVerschijningsvorm
378	Straatpot	3	DekselVerschijningsvorm
379	Strak aansluitende lining	3	LiningVerschijningsvorm
380	Stroming in beide richtingen	3	ConstructieonderdeelStromingsrichting
381	Stroming in beide richtingen	3	ConstructieonderdeelStromingsrichting
382	Stroming in beide richtingen	3	ConstructieonderdeelStromingsrichting
383	Stroming van beginpunt naar eindpunt	3	ConstructieonderdeelStromingsrichting
384	Stroming van beginpunt naar eindpunt	3	ConstructieonderdeelStromingsrichting
385	Stroming van beginpunt naar eindpunt	3	ConstructieonderdeelStromingsrichting
386	Stroming van eindpunt naar beginpunt	3	ConstructieonderdeelStromingsrichting
387	Stroming van eindpunt naar beginpunt	3	ConstructieonderdeelStromingsrichting
388	Stroming van eindpunt naar beginpunt	3	ConstructieonderdeelStromingsrichting
389	Stuwbak	3	UitlaatconstructieVerschijningsvorm
390	Stuwgebied	3	WaterbeheergebiedVerschijningsvorm
391	Stuwklep	3	MechanischeAfsluiterVerschijningsvorm
392	Stuwput	3	RioolputVerschijningsvorm
393	Stuwrioolleiding	3	VrijvervalRioolleidingVerschijningsvorm
394	Ter plaatse uitgeharde lining	3	LiningVerschijningsvorm
395	Terreinriolering	3	RioolstelselVerschijningsvorm
396	Terugslagklep	3	MechanischeAfsluiterVerschijningsvorm
397	Tram	4	DuikerModaliteit
398	Transportrioolleiding	3	VrijvervalTransportleidingVerschijningsvorm
399	Trein	4	DuikerModaliteit
400	Trekvaste koppeling	3	FysiekObjectVerbindingstype
401	Trottoirkolk	3	KolkVerschijningsvorm
402	T-stuk	3	VerbindingsstukVerschijningsvorm
403	Tubelure	3	VerbindingsstukVerschijningsvorm
404	Tunnelgemaal	3	GemaalVerschijningsvorm
405	Tussengemaal	3	GemaalVerschijningsvorm
406	Uitklimvoorziening voor middelgrote fauna	3	UitklimvoorzieningVerschijningsvorm
407	Uitlaat	3	RepresentatieFysiekObjectVerschijningsvorm
408	Uitlaat (punt)	3	FysiekObjectTypeAansluitpunt
