VakdisciplineObjecttypeID	IMBORGUID	Vakdiscipline	Objecttype	Wijzigingsdatum
1364	71ee6a5b-178c-4dc7-a86d-aa301ef2985a	14399	10512	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1365	96056d29-0d2c-422e-bee5-c85af217d01d	14399	10431	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1366	bae6c710-b792-4575-89c4-296244ce1078	14393	21560	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1367	4fc67823-c53c-4e6d-83f9-d380d5fc4a3c	14398	21649	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1368	286f2fef-b196-4733-aaf4-face1baf5ca9	14407	21553	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1369	c7376273-f283-4e70-a365-2618cc106146	14399	15524	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1370	a000c268-f2b6-4b7e-bc90-28ff4adaffee	14396	21627	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1371	7ad22c9b-589b-45fd-8746-1c2b2d3dac2b	14396	21638	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1372	8d04a01e-7cb9-4163-93cf-c5a5e9689ada	14393	21562	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1373	b750ff3e-5703-44df-a86e-a73254533c4c	14398	21552	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1374	ed5ac5d6-2c0c-40c0-bc6b-a7af51d97361	14597	21563	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1375	165cf99e-05f2-42b4-8469-aa3bd3105aab	22290	14809	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1376	0a62d988-5aa1-411b-b6eb-641df6df4236	22290	14813	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1377	1a954189-e2b1-4165-b0f8-93913d66ea69	22290	14810	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1378	d42557ba-348f-45a6-bbd7-936e31385a19	22290	22203	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1379	af3b273a-cb80-4476-b99d-51a3c4f3076c	22290	22226	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1380	5328cb49-0d97-49ba-ae86-0d17920dc034	22290	22212	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1381	959bf1b2-0e24-4e24-ac2c-1e3e7171f552	22290	22222	Fri Mar 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1382	4b79e84a-7d33-4a9a-a117-789c8ba5625f	14396	166	Tue Sep 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
1383	29ebcff7-fe36-4753-bde5-e6a7c05de849	14396	7757	Tue Sep 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
