CID	C
953	L201
954	L20
955	L19r-50
956	L19l-50
957	L18
958	L17
959	L16
960	L15
961	L1414
962	L1413
963	L1412
964	L1411
965	L1410
966	L1409
967	L1408
968	L1407
969	L1406
970	L1405
971	L1404
972	L1403
973	L1402
974	L1401
975	L1400
976	L14_OB401
977	L14_OB1002
978	L14_OB1001
979	L14_OB1000
980	L14
981	L1355
982	L1354
983	L1353
984	L1352
985	L1351
986	L1350
987	L1305
988	L1304
989	L1303
990	L1302
991	L1301
992	L1300
993	L13
994	L1203
995	L1202
996	L1201
997	L1200
998	L12
999	L11t
1000	L1153
1001	L1152
1002	L1151
1003	L1150
1004	L1101
1005	L1100
1006	L11
1007	L10t
1008	L1086
1009	L1085
1010	L1084
1011	L1083
1012	L1082
1013	L1081
1014	L1080
1015	L1072
1016	L1071
1017	L1070
1018	L1064
1019	L1063
1020	L1062
1021	L1061
1022	L1060
1023	L1053
1024	L1052
1025	L1051
1026	L1050
1027	L1044
1028	L1043
1029	L1042
1030	L1041
1031	L1040
1032	L1037
1033	L1036
1034	L1035
1035	L1034
1036	L1033
1037	L1032
1038	L1031
1039	L1030
1040	L1025
1041	L1024
1042	L1023
1043	L1022
1044	L1021
1045	L1020
1046	L1015
1047	L101-4
1048	L1014
1049	L101-3
1050	L1013
1051	L1012
1052	L1011
1053	L1010
1054	L101
1055	L1009
1056	L1006
1057	L1005
1058	L1004
1059	L1003
1060	L1002
1061	L1001
1062	L1000
1063	L10
1064	L09-11
1065	L09-02r
1066	L09-02l
1067	L09-02
1068	L09-01r
1069	L09-01l
1070	L09
1071	L08
1072	L07t
1073	L07-4-01t
1074	L07-3-01t
1075	L07-3
1076	L07-2-01t
1077	L06-4
1078	L05-4
1079	L05-3a
1080	L05-3
1081	L05-2a
1082	L04m
1083	L04l
1084	L04k
1085	L04j
1086	L04i
1087	L04h
1088	L04g
1089	L04f
1090	L04e
1091	L04-D-Al
1092	L04d
1093	L04c
1094	L04b
1095	L04-A(F08)-A
1096	L04-A(C7)-A
1097	L04-A(C18-2m)-A-A
1098	L04a
1099	L04-3b
1100	L04-3a
1101	L04-2b
1102	L04-2a
1103	L04
1104	L03c
1105	L03b
1106	L03a
1107	L03
1108	L02f
1109	L02_OB15f
1110	L02
1111	L01-42
1112	L01
1113	J39
1114	J38
1115	J37f
1116	J37
1117	J36
1118	J35
1119	J34
1120	J33
1121	J32
1122	J31
1123	J30
1124	J29
1125	J28
1126	J27
1127	J26
1128	J25
1129	J24f
1130	J24
1131	J23
1132	J22f
1133	J22
1134	J21f
1135	J21
1136	J20f
1137	J20
1138	J19
1139	J18
1140	J17
1141	J16f
1142	J16
1143	J15
1144	J14
1145	J13
1146	J12
1147	J11
1148	J1017
1149	J1016
1150	J1015
1151	J1014
1152	J1013
1153	J1012
1154	J1011
1155	J1010
1156	J1003f
1157	J1003
1158	J1002
1159	J1001
1160	J10
1161	J09
1162	J08
1163	J07-10
1164	J06-10
1165	J05
1166	J04
1167	J03
1168	J02
1169	J01
1170	G14
1171	G13
1172	G12b
1173	G12a
1174	G12
1175	G11
1176	G10
1177	G09
1178	G08
1179	G07zh
1180	G07ze
1181	G07zb
1182	G07
1183	G06
1184	G05zh
1185	G05ze
1186	G05zb
1187	G05
1188	G04
1189	G03
1190	G02
1191	G01
1192	F22
1193	F21
1194	F20
1195	F19
1196	F18
1197	F17
1198	F16
1199	F15
1200	F14
1201	F13
1202	F12
1203	F11
1204	F10b
1205	F10
1206	F09
1207	F08
1208	F07
1209	F06
1210	F05
1211	F04
1212	F03
1213	F02
1214	F01
1215	E303
1216	E302
1217	E301
1218	E300
1219	E202zh
1220	E202ze
1221	E202zb
1222	E202
1223	E201zh
1224	E201ze
1225	E201zb
1226	E201
1227	E13
1228	E12
1229	E11ze
1230	E10zhks
1231	E10zhk
1232	E10zh
1233	E10zeks
1234	E10zek
1235	E10zeh
1236	E10ze
1237	E10zbks
1238	E10zbk
1239	E10zbhs
1240	E10zbh
1241	E10zb
1242	E106
1243	E1051
1244	E1050
1245	E105
1246	E104
1247	E103
1248	E102zhks
1249	E102zhk
1250	E102zh
1251	E102zeks
1252	E102zek
1253	E102ze
1254	E102zbks
1255	E102zbk
1256	E102zb
1257	E102sh
1258	E102se
1259	E102sb
1260	E102
1261	E101zhks
1262	E101zhk
1263	E101zh
1264	E101zeks
1265	E101zek
1266	E101ze
1267	E101zbks
1268	E101zbk
1269	E101zb
1270	E101
1271	E1004
1272	E1003
1273	E1002
1274	E1001
1275	E1000
1276	E10
1277	E09zhks
1278	E09zhk
1279	E09zh
1280	E09zek
1281	E09ze
1282	E09zbks
1283	E09zbk
1284	E09zbhs
1285	E09zbh
1286	E09zb
1287	E09
1288	E08p
1289	E08o
1290	E08n
1291	E08m
1292	E08l
1293	E08k
1294	E08j
1295	E08i
1296	E08h
1297	E08g
1298	E08f
1299	E08a
1300	E08d
1301	E08q
1302	E08e
1303	E08b
1304	E08
1305	E07
1306	E06
1307	E05
1308	E04
1309	E03ze
1310	E03zbh
1311	E03zb  
1312	E03
1313	E02ze
1314	E02zbh
1315	E02zb
1316	E02
1317	E01zte
1318	E01zht
1319	E01ze
1320	E01zbt
1321	E01zbh
1322	E01zb
1323	E01
1324	D07
1325	D06r
1326	D06l
1327	D05r
1328	D05l
1329	D04
1330	D03
1331	D02ro
1332	D02rb
1333	D02lo
1334	D02lb
1335	D01f
1336	D01
1337	C23-04
1338	C23-03
1339	C23-02
1340	C23-01
1341	C22bze
1342	C22b
1343	C22azb
1344	C22a
1345	C22
1346	C21-54
1347	C21
1348	C20-48
1349	C20
1350	C19-31
1351	C19
1352	C18-23
1353	C18
1354	C17-10
1355	C17
1356	C16
1357	C15
1358	C14
1359	C13
1360	C12ze
1361	C12zbh
1362	C12zb
1363	C12
1364	C11
1365	C10
1366	C09
1367	C08zb
1368	C08
1369	C07ze
1370	C07zbh
1371	C07zb
1372	C07b
1373	C07a
1374	C07
1375	C06zh
1376	C06ze
1377	C06zb
1378	C06
1379	C05
1380	C04r
1381	C04l
1382	C03
1383	C02OB705f
1384	C02f
1385	C02
1386	C01ze
1387	C01zbh
1388	C01zb
1389	C01
1390	BB55rt
1391	BB55lt
1392	BB40r-CADO
1393	BB40l-CADO
1394	BB35r
1395	BB35l
1396	BB34-2r
1397	BB34-2l
1398	BB34-2
1399	BB34
1400	BB26
1401	BB24-T
1402	BB24rT
1403	BB24lT
1404	BB24
1405	BB23-3r_J11
1406	BB23-3r
1407	BB23-3l
1408	BB23-2r
1409	BB23-2l
1410	BB23-1r
1411	BB23-1l
1412	BB14r
1413	BB14l
1414	BB13
1415	BB12rf
1416	BB12r
1417	BB12lf
1418	BB12l
1419	BB11rf
1420	BB11r
1421	BB11lf
1422	BB11l
1423	BB100r
1424	BB100l
1425	BB10
1426	BB08-01r-100
1427	BB08-01r
1428	BB08-01l-100
1429	BB08-01l
1430	BB07a
1431	BB07
1432	BB06-300
1433	BB06
1434	BB05
1435	BB04
1436	BB03
1437	BB02
1438	BB01t
1439	BB01rb
1440	BB01ra
1441	BB01r
1442	B07f
1443	B07
1444	B06f
1445	B06
1446	B05
1447	B04
1448	B03
1449	B02
1450	B01
1451	A0580
1452	A0570
1453	A0560
1454	A0550
1455	A0530
1456	A0490
1457	A0480
1458	A0470
1459	A0460
1460	A0450
1461	A0440
1462	A0430
1463	A0390
1464	A0380
1465	A0370
1466	A0350
1467	A0330
1468	A0290
1469	A0280
1470	A0270
1471	A0260ze
1472	A0260
1473	A0250
1474	A0230ze
1475	A0230_E01ze
1476	A0230
1477	A0215
1478	A02130
1479	A02120
1480	A02100
1481	A0190s
1482	A0190fs
1483	A0190
1484	A0180s
1485	A0180fs
1486	A0180
1487	A0170s
1488	A0170fs
1489	A0170
1490	A0160zbh
1491	A0160zb
1492	A0160s
1493	A0160fs
1494	A0160
1495	A0150s
1496	A0150fs
1497	A0150
1498	A015
1499	A0130zbh
1500	A0130zb
1501	A0130E01zb
1502	A0130
1503	A0115
1504	A01130s
1505	A01130fs
1506	A01130
1507	A01120s
1508	A01120fs
1509	A01120
1510	A01100s
1511	A01100f
1512	A01100
1513	A0110
