LoggingGUID	VocabulairGUID	IMBORGUID	GitHub-issueID	Omschrijving	Terugkoppeling	Loggingsdatum	Status	Aard aanpassing	Collectie
23d57393-d7bc-485d-861f-d876d6f96add	N.v.t	{514BC944-6129-4004-8392-9A6CF38A2FF7}	1018	Bereikbaarheid (attr 410) en Bereikbaarheid gedetailleerd (attr 333) zijn aan elkaar gekoppeld middels de "imborkern_attributen" tabel. Echter, in "imborkern_enumeratiesdomeinwaarden" is geen enkele domeinwaarde van Bereikbaarheid gedetailleerd gekoppeld aan een domeinwaarde van Bereikbaarheid.	Klimmen: als bovenliggende waarde in imborKern_EnumeratiesDomeinwaarden is 'Bereikbaarheid met beperkingen' toegevoegd bij BereikbaarheidGedetailleerd.	Fri Jan 13 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Bovenliggende waarde gewijzigd	Enumeratietype
23e70d24-c6d3-46e6-9d41-5e1fcb4f372b	{3EA92AAC-6BE8-4A56-AB13-681608FA1BD1}	{CA5E9CBF-129B-4222-A716-3BF3C11B48E7}	1149	UNAFACT: Armoede van FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd	Eekhoorn is toegevoegd aan imborVoc_Termen	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde
23f1f4d2-4880-4254-9d6d-278953a48fa2	{7D7FB4B5-89ED-4AEF-8A83-DC9CD0C9EBD1}	{32485F2B-CF50-4C1A-B5D2-3E2DC05AACD0}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:stroomsterkte; is aangepast van: "Aanduiding voor de elektrische stroomsterkte.", naar: "Aanduiding voor de hoeveelheid elektrische lading die per seconde door het object stroomt."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Attribuut
23f75f03-22b2-4d76-97c1-8a94de15dbd3	N.v.t.	{0CD05F49-72C4-4C93-A9F8-79A29F94343D}	Unafact44b	Uitbreiding IMBOR Laadinfrastructuur: objecttypes die tot de vakdiscipline behoren benoemd.	Parkeerautomaat toegevoegd aan de vakdiscipline Laadinfrastructuur in de tabel imborKern_K_VakdisciplinesObjecttypen.	Mon Nov 28 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Objecttype toegevoegd aan vakdiscipline	Objecttype
24057348-46a4-4017-9481-c768dae02989	N.v.t.	{F491519B-83D4-478F-A74C-ED54D95E5AE8}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	Ontstoppingsstuk_bor-type verwijderd uit imborKern_K_KlassenAttributen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut
2405bb18-4143-4ca0-abf5-4bc633075e8d	{FA48B056-A5A4-4F5A-80C9-C8AE68385B51}	{84B7557A-9EF6-47B6-B855-E7ED469B5B1D}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	plus-type is verwijderd uit imborVoc_Termen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Term vervallen	Attribuut
2409e856-b027-4788-8211-cdf5ce9dc178	{718FC8D1-3A88-4F47-9353-364AAE398D75}	{E9BD8E8C-095A-4DC8-9444-CE7D2D0331CC}	1228	Afstemming Handboek Bomen en IMBOR definitief maken	4,5 m + m.v. rondom wijzigt naar 4,5/4,5 m + m.v. in imborVoc_Termen	Fri Dec 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Term gewijzigd	Domeinwaarde
240ddfda-c360-47da-909c-e5fd02d036cf	{6340545C-106F-48B9-B1B9-F5EDBE621EFC}	{25C00047-D34F-4ABA-A2DD-DD5EDF14C8E7}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:VoorschakelapparaatDimaansturing; is aangepast van: "Het enumeratietype VoorschakelapparaatDimaansturing is de naam voor de domeinwaardenlijst van de klasse Voorschakelapparaat en het attribuut dimaansturing.", naar: "Het enumeratietype v	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype
2430d63e-5a48-4750-9f5f-afc668b549a7	N.v.t.	{72620B2A-21F1-4C67-A758-FBBF33094B83}	1075	NEN3610 Temporele Aspecten volledig consistent doorvoeren in IMBOR	eindGeldigheid vervalt bij Faunaverblijfplaats in imborKern_K_KlassenAttributen	Tue Mar 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut
2436dd72-724d-4ac6-a56d-513f8ae9cedc	{32829BE8-5C7C-4817-B4E9-74825447A7F7}	{251DD154-7ACA-492F-BC0A-A1D75332EF52}	1149	UNAFACT: Armoede van FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd	Brave hendrik is toegevoegd aan imborVoc_Termen	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Term toegevoegd	Domeinwaarde
