ABID	A	B
210	Duin	Groenobject
211	Duinmeer	Oppervlaktewater
212	DWA gemaal	Gemaal
213	DWA perceelaansluitleiding	Stedelijk waterleiding
214	DWA+HWA gemaal	Gemaal
215	Dwarsbuis	Kunstwerk
216	Ecoduct	Overbrugging
217	Ecologisch perceel	Ecologische zone
218	Eekhoornbrug	Faunavoorziening
219	Eendenkorf	Faunaverblijfplaats
220	Effluentleiding	Holle leiding
221	Elementenverharding	Verharding
222	Emplacement	Spoorzone
223	Enkelkerende spindelschuif	Constructieonderdeel
224	Erfafscheidingsput	Put
225	Evenementenkast	Kast
226	Evenemententerrein	Recreatiezone
227	Explosievrije kolk	Put
228	Externe overstortconstructie	Constructieonderdeel
229	Externe overstortput	Rioolput
230	Faunaduiker	Faunavoorziening
231	Faunagoot	Faunavoorziening
232	Fauna-inspectieput	Put
233	Faunameubilair	Straatmeubilair
234	Faunarichel	Faunavoorziening
235	Faunatunnel	Faunavoorziening
236	Fauna-uittreedplaats	Faunavoorziening
237	Fietsabri	Straatmeubilair
238	Fietsbeugel	Straatmeubilair
239	Fietsenkluis	Straatmeubilair
240	Fietsenrek	Straatmeubilair
241	Fietsenstalling	Straatmeubilair
242	Fietsklem	Straatmeubilair
243	Fietspad	Verkeerskundige zone
244	Fietspomp	Straatmeubilair
245	Fietssleuf	Straatmeubilair
246	Fietssnelheidsindicator	Sensor
247	Fietstrommel	Straatmeubilair
248	Fijnstofsensor	Sensor
249	Filterput	Put
250	First flush gemaal	Gemaal
251	Flexibel zettingstuk	Constructieonderdeel
252	Flyover	Overbrugging
253	Folie	Constructieonderdeel
254	Fontein	Kunstwerk
255	Foutaansluiting	Aansluiting
256	Frequentie-omvormer	Constructieonderdeel
257	Fruit- of kweekbomen	Groenobject
258	Ganzennest	Faunaverblijfplaats
259	Gaskast	Kast
260	Gasleiding	Holle leiding
261	Gasput	Put
262	Geboortebos	Beheerzone
263	Gebouw	Bouwwerk
264	Gebouwzone	Functioneel gebouwobject
265	Gecombineerde straat-trottoirkolk	Put
266	Geleideconstructie	Weginrichtingsobject
267	Geleidewerk	Waterinrichtingsobject
268	Geluidskast	Kast
269	Geluidsscherm	Scheiding
270	Geluidssensor	Sensor
271	Gemaal droge opstelling	Gemaal
272	Gemaal natte opstelling	Gemaal
273	Gemaalcomplex	Complex
274	Gemeentegrens	Registratieve ruimte
275	Gemengd riool	Stedelijk waterleiding
276	Gemengde perceelaansluitleiding	Stedelijk waterleiding
277	Gereedschapsrek	Straatmeubilair
278	Gescheiden systeem	Systeem
279	Gestuwd rioolstelsel	Stelsel
280	Getijdengebied	Water
281	Gevarenzone	Spoorzone
282	Gevelgroen	Vegetatieobject
283	Geveltuin	Vegetatieobject
284	GMS-kast	Kast
285	GMS-sensor	Sensor
286	Golfdoel	Straatmeubilair
287	Gootstrook	Weginrichtingsobject
288	Gracht	Watergang
289	Graf	Straatmeubilair
290	Grafsteen	Straatmeubilair
291	Grafvak	Beheerzone
292	Grafveld	Beheerzone
293	Gras- en kruidachtigen	Groenobject
294	Grasafslaggeleider	Straatmeubilair
295	Gravelbak	Straatmeubilair
296	Greppel	Water
297	Grindkoffer	Reservoir
298	Groeiplaats	ReëelObject
299	Groep	Apparaat
300	Grondkering	Kering
301	Grondsoort	Geografische ruimte
302	Grondwatermeetnet	Systeem
303	Grondwatersysteem	Systeem
304	Haag	Groenobject
305	Haagas	Hulpobject
306	Halfverharding	Verharding
307	Half-way house	Straatmeubilair
308	Halte voetpad	Verkeerskundige zone
309	Halte-eiland	Verkeerskundige zone
310	Haltekom	Verkeerskundige zone
311	Halteplaats	Verkeerskundige zone
312	Handhavingssysteem	Installatie
313	Haven	Oppervlaktewater
314	Havencomplex	Complex
315	Heide	Groenobject
316	Hek	Scheiding
317	Hellingbaan	Gebouwcomponent
318	Helofytenfilter	Reservoir
319	Hemelwaterriool	Stedelijk waterleiding
320	Herdenkingsmonument	Straatmeubilair
321	Hevel	Holle leiding
322	Hijsinrichting	Constructieonderdeel
323	Holevlag	Straatmeubilair
324	Hondenbeleidsgebied	Beheerzone
325	Hondenhokput	Rioolput
326	Hondenrooster	Weginrichtingsobject
327	Hoofdpost	Installatie
328	Hoofdweg	Geografische ruimte
329	Hoogspanningskabel	Kabel
330	Hoogspanningsmast	Mast
331	Hoogtebegrenzer	Straatmeubilair
332	Hoogtemerk	Waterinrichtingsobject
333	Hoogzit	Straatmeubilair
334	Hop-over	Faunavoorziening
335	Horizontale drainage	Stelsel
336	Hotspot	Beheerzone
337	Houtsingel	Groenobject
338	Houtwal	Groenobject
339	Huisnummerbord	Bord
340	Hulppost	Kast
341	HWA gemaal	Gemaal
342	HWA perceelaansluitleiding	Stedelijk waterleiding
343	Hybride drukriolering	Stedelijk waterleiding
344	Hydrant	Installatie
345	IBA Klasse I	Reservoir
346	IBA Klasse II	Reservoir
347	IBA Klasse IIIa	Reservoir
348	IBA Klasse IIIb	Reservoir
349	IJskelder	Bouwwerk
350	IJsvogelwand	Faunavoorziening
351	Infiltratiebassin	Reservoir
352	Infiltratiegoot	Open leiding
353	Infiltratiekolk	Put
354	Infiltratiekrat	Constructieonderdeel
355	Infiltratieput	Put
356	Infiltratieriool	Stedelijk waterleiding
357	Infiltratiestelsel	Stelsel
358	Informatiebord	Bord
359	Informatiepaneel	Bord
360	Informatiezuil	Straatmeubilair
361	Injectieput	Put
362	Inlaag	Beheerzone
363	Inlaat leiding	Constructieonderdeel
364	Inlaat oppervlaktewater	Kunstwerk
365	Inlaat rioolput	Constructieonderdeel
366	Inlaatplaats	Beheerzone
367	Inrit	Verkeerskundige zone
368	Insectenhotel	Faunaverblijfplaats
369	Inspectieput	Rioolput
370	Instroomvoorziening	Weginrichtingsobject
371	Interne overstortconstructie	Constructieonderdeel
372	Interne overstortput	Rioolput
373	Kaartlezer	Sensor
374	Kabeldraagsysteem	Constructieonderdeel
375	Kabelgeul	Functioneel ondergronds object
376	Kabels- en leidingenbord	Bord
377	Kade	Wegzone
378	Kademuur	Kunstwerk
379	Kanaal	Watergang
380	Karreveld	Beheerzone
381	Kastombouw	Constructieonderdeel
382	Kathodische beschermingspaal	Straatmeubilair
383	Kerngebied	Ecologische zone
384	Ketting	Constructieonderdeel
385	Keverbank	Vegetatieobject
386	Kinderboerderij	Recreatiezone
387	Klimijzer	Straatmeubilair
388	Klimplant	Vegetatieobject
389	Klok	Bord
390	Knevelvoorziening	Constructieonderdeel
391	Kolkaansluiting	Aansluiting
392	Kolkaansluitleiding	Stedelijk waterleiding
393	Komgrens	Registratieve ruimte
394	Kooldioxideleiding	Holle leiding
395	Kraamverblijf	Faunaverblijfplaats
396	Kraanbaan	Wegzone
397	Krib	Kunstwerk
398	Kruisingsput	Rioolput
399	Kruispunt	Verkeerskundige zone
400	Kruisstuk	Constructieonderdeel
401	Kunstobject	Straatmeubilair
402	Kunststofverharding	Verharding
403	Kwaliteitsniveau	Beheerzone
404	Kwaliteitssensor	Sensor
405	Kwelscherm	Scheiding
406	Laadbrug	Straatmeubilair
407	Laadperron	Gebouwcomponent
408	Laadplein	Verkeerskundige zone
409	Laadportaal	Installatie
410	Laadpunt	Installatie
411	Laadverdeelkast	Kast
412	Laagspanningskabel	Kabel
413	Lamellenafscheider	Constructieonderdeel
414	Lanceerpunt	Constructieonderdeel
415	Landhoofd	Kunstwerkdeel
416	Landschappelijk gebied	Geografische ruimte
417	Lavakoffer	Reservoir
418	Ledigingsvoorziening	Constructieonderdeel
419	Leidingbrug	Bouwwerk
420	Leidingomhulling	Constructieonderdeel
421	Leidingsegment	Stedelijk waterleiding
422	Leuning	Straatmeubilair
423	Lichtbaken	Waterinrichtingsobject
424	Lichtbron	Apparaat
425	Lichtkoker	Constructieonderdeel
426	Lichtsensor	Sensor
427	Lichtsturing	Apparaat
428	Lift	Installatie
429	Ligplaats	Registratieve ruimte
430	Ligplaatsstrook	Beheerzone
431	Lijngoot	Open leiding
432	Lijnmarkering	Wegmarkering
433	Lining	Constructieonderdeel
434	Loopbrug	Gebouwcomponent
435	Loopdek	Gebouwcomponent
436	Loswal	Wegzone
437	Loze put	Put
438	Lozingsput	Rioolput
439	Luchthaven	Luchtvaartruimte
440	Luchtinjectie-unit	Apparaat
441	Luchtkwaliteitssensor	Sensor
442	Luchtpersgemaal	Gemaal
443	Luchtpersleiding	Stedelijk waterleiding
444	Luchtpersriolering	Stedelijk waterleiding
445	Luchtscherm	Scheiding
446	Luidspreker	Sensor
447	Luifel	Gebouwcomponent
448	Luik	Constructieonderdeel
449	Mangat	Constructieonderdeel
450	Mantelbuis	Holle leiding
451	Mantoegankelijke put	Rioolput
452	Markeringspaal	Straatmeubilair
453	Marktstandplaats	Beheerzone
454	Marshall-huisje	Straatmeubilair
455	Marterhoop	Faunaverblijfplaats
456	Mechanisch drainagestelsel	Stelsel
457	Mechanische perceelaansluiting	Aansluiting
458	Meer	Oppervlaktewater
459	Meerpaal	Waterinrichtingsobject
460	Meerstoel	Waterinrichtingsobject
461	Meetbuis	Sensor
462	Meetinrichting	Systeem
463	Meetspijker	Weginrichtingsobject
464	Meetstation	Sensor
465	Meldpaal	Straatmeubilair
466	Metrobaan	Verkeerskundige zone
467	Middenspanningskabel	Kabel
468	Mistbaken	Waterinrichtingsobject
469	Mobiele waterkering	Kering
470	Modem	Apparaat
471	Moeras	Groenobject
472	Mof	Constructieonderdeel
473	Molgoot	Open leiding
474	Mosselbank	Faunavoorziening
475	Multifunctioneel gebied	Geografische ruimte
476	Muur	Scheiding
477	Natuurgebied	Geografische ruimte
478	Nederlandse aansluitende zone	Registratieve ruimte
479	Nederlandse continentaal plat	Registratieve ruimte
480	Nederlandse exclusieve economische zone	Registratieve ruimte
481	Nederlandse territoriale zee	Registratieve ruimte
482	Nestkast	Faunaverblijfplaats
483	Nestplaats	Faunaverblijfplaats
484	Noodoverstortput	Rioolput
485	Nooduitlaat	Kunstwerk
486	Nummeraanduiding	Registratieve ruimte
487	Nutsaansluiting	Installatie
488	Obstakelbeveiliger	Weginrichtingsobject
489	Oeverzone	Waterbeheerzone
490	Oeverzwaluwwand	Faunavoorziening
491	Olie-/benzineafscheider	Constructieonderdeel
492	Olie-/benzineafvangput	Put
493	Onbepaald terrein	ReëelObject
494	Onderbemaling	Stelsel
495	Onderdoorgang	Ondertunneling
496	Ondergrondse laadoplossing	Straatmeubilair
497	Ontlastput	Put
498	Ontluchter	Constructieonderdeel
499	Ontluchtingsleiding	Holle leiding
500	Ontluchtingsunit	Constructieonderdeel
501	Ontluchtingsventiel	Constructieonderdeel
502	Ontstoppingsput	Put
503	Ontstoppingsstuk	Constructieonderdeel
504	Onttrekkingsput	Put
505	Onverhard	Verharding
506	Ooievaarsnest	Faunaverblijfplaats
507	Open berging	Reservoir
508	Open loods	Bouwwerk
509	Open tunnelbak	Kunstwerk
510	Openbaar hemelwaterstelsel	Stelsel
511	Openbaar ontwateringsstelsel	Stelsel
512	Openbaar vuilwaterstelsel	Stelsel
513	Openbare ruimtegrens	Registratieve ruimte
514	Opening in wand	Constructieonderdeel
515	Openluchtzwembad	Bouwwerk
516	Ophangconstructie	Constructieonderdeel
517	Opkuilhoek	Beheerzone
518	Oplaadpaal	Straatmeubilair
519	Oppervlaktewatergemaal	Gemaal
520	Oppervlaktewatersysteem	Systeem
521	Opslagbak	Bak
522	Opslagcontainer	Straatmeubilair
523	Opslagtank	Bak
524	Opstelplaats	Beheerzone
525	Opvangput	Put
526	Opvangzone	Beheerzone
527	Opvoergemaal	Gemaal
528	Opzetstuk	Constructieonderdeel
529	Overgangsstuk	Constructieonderdeel
530	Overkapping	Bouwwerk
531	Overkluizing	Overbrugging
532	Overstap	Straatmeubilair
533	Overstortbemaling	Constructieonderdeel
534	Overstortdrempel	Constructieonderdeel
535	Overstortleiding	Stedelijk waterleiding
536	Overstortmeter	Sensor
537	Overweg	Spoorzone
538	OVL-kast	Kast
539	Paal	Paalconstructie
540	Paarverblijf	Faunaverblijfplaats
541	Paddenstoel	Straatmeubilair
542	Pakketautomaat	Straatmeubilair
543	Paneel	Kunstwerkdeel
544	Parallelriool	Stedelijk waterleiding
545	Park	Recreatiezone
546	Parkeerautomaat	Straatmeubilair
547	Parkeerbeheersensor	Sensor
548	Parkeerbeugel	Straatmeubilair
549	Parkeerdek	Gebouwcomponent
550	Parkeergarage	Bouwwerk
551	Parkeerterrein	Wegzone
552	Parkeervak	Verkeerskundige zone
553	Peilbuis	Sensor
554	Peilbuisdeksel	Constructieonderdeel
555	Pendelstuk	Stedelijk waterleiding
556	Perceelaansluiting	Aansluiting
557	Pergola	Straatmeubilair
558	Perron	Gebouwcomponent
559	Persleiding	Stedelijk waterleiding
560	Persleidingstelsel	Stelsel
561	Persluchtpomp	Installatie
562	Pigging-installatie	Installatie
563	Pijler	Kunstwerkdeel
564	Pingoruïne	Beheerzone
565	Plaat	Constructieonderdeel
566	Plantaarn	Straatmeubilair
567	Planten	Groenobject
568	Plantenbak	Bak
569	Plantensoortlocatie	Ecologische zone
570	Plas	Oppervlaktewater
572	PLC	Constructieonderdeel
573	PLC-kast	Kast
574	Plein	Wegzone
575	Poef	Straatmeubilair
576	Poel	Oppervlaktewater
577	Poller	Straatmeubilair
578	Pompkast	Kast
579	Pompput	Rioolput
580	Pompunit	Rioolput
581	Ponton	Kunstwerk
582	Portaal	Paalconstructie
583	Postcodegebied	Registratieve ruimte
584	Privédrainage	Stelsel
585	Productieput	Put
586	Profiel leiding	Hulpobject
587	Profiellijn	Hulpobject
588	Project	Geografische ruimte
589	Provinciegrens	Registratieve ruimte
590	Punaise	Straatmeubilair
591	Putbuis	Rioolput
592	Putdeksel - licht verkeer	Constructieonderdeel
593	Putdeksel - zwaar verkeer	Constructieonderdeel
594	Putdeksel met instroomvoorziening	Constructieonderdeel
595	Pyloon	Kunstwerkdeel
596	Raaipaal	Straatmeubilair
597	Radar	Sensor
598	Radarmast	Mast
599	Rattenval	Straatmeubilair
600	Rayon	Registratieve ruimte
601	Reclamebord	Bord
602	Recreatiebedrijf	Registratieve ruimte
603	Recreatiegebied	Geografische ruimte
604	Reducering	Beheerzone
605	Referentiemicrofoon	Sensor
606	Regelinrichting	Systeem
607	Regenmeter	Sensor
608	Regenwatertuin	Reservoir
609	Reinigende put	Rioolput
610	Reliëfzone	Geografische ruimte
611	Remmingswerk	Waterinrichtingsobject
612	Rietland	Groenobject
613	Rijbaan	Verkeerskundige zone
614	Rijk	Registratieve ruimte
615	Rijstrookscheiding	Weginrichtingsobject
616	Rioolafsluiter	Constructieonderdeel
617	Riooldrainage	Stelsel
618	Riooleindgemaal	Gemaal
619	Rioolput met geleiding	Rioolput
620	Rivier	Watergang
621	Roltrap	Installatie
622	Rookpaal	Straatmeubilair
623	Rooster	Constructieonderdeel
624	Roostergoot	Open leiding
625	Rotatiepaneel	Bord
626	Routepaal	Straatmeubilair
627	Router	Apparaat
628	Rozenboog	Straatmeubilair
629	RTC-sturing	Systeem
630	Ruimte	Constructie
631	Ruiterpad	Verkeerskundige zone
632	RWS kolk	Put
633	RWZI	Bouwwerk
634	Schakelgebied	Beheerzone
635	Scheepvaartbord	Bord
636	Schietterrein	Beheerzone
637	Schildmuur	Constructieonderdeel
638	Schoenborstel	Straatmeubilair
639	Schoolterrein	Complex
640	Schoolzonepaal	Straatmeubilair
641	Schoonloopmat	Straatmeubilair
642	Schoonlooprooster	Straatmeubilair
643	Schot	Kunstwerk
644	Schouwpad	Verkeerskundige zone
645	Schroefcentrifugaalpomp	Installatie
646	Schroefpomp	Installatie
647	Schuilhut	Straatmeubilair
648	Schutkolk	Kunstwerkdeel
649	Scootmobielberging	Straatmeubilair
650	Sensormodule	Apparaat
651	Septictank	Reservoir
652	Sifon	Holle leiding
653	Sirene	Sensor
654	Slagboominstallatie	Straatmeubilair
655	Slangsifon	Constructieonderdeel
