FilterObjecttypeID	IMBORGUID	Filter	Objecttype	Wijzigingsdatum
997	7cbb8906-433a-4bb0-9819-40e4bb5411e2	14967	15252	null
998	4c9525bd-4704-41a2-aebb-01dacee74b35	1089	11172	null
999	4db81a80-656d-4ccf-a2c3-9e3252187dae	1089	11180	null
1000	2dfd0e9b-f131-48db-9c46-323622c4fbf8	1089	11173	null
1001	753dcd44-4a9b-4004-a12a-49ad561ac9a2	1089	11174	null
1002	dd756d1e-fd10-4cba-96de-2113abf25aa0	1095	17	null
1003	c3a493f6-be49-4ad9-a9d4-2044d7cf4acc	1095	18	null
1004	39c4c8d5-0f2b-4abc-ac52-72bbba1f0994	1089	10129	null
1005	05e2a98e-756f-4697-992e-1ccaca78d039	14962	8328	null
1006	bc1963ee-cedf-49bf-a7bf-a7c605ae2831	14800	238	null
1007	d5ae4475-6415-4602-9c08-b2acbeb06801	1091	23679	null
1008	e62ffb12-1593-4f85-a485-d9f52a23585c	8922	8982	null
1009	72500c24-acfd-407d-be84-eb35d6d407ae	14450	10743	null
1010	276bfb82-461c-4c8e-a0bf-e4b1a1ebba93	1090	19	null
1011	80349d0f-461b-4dba-b9a6-98ca43439df1	14978	20	null
1012	921cbd2d-9126-4c81-9a8d-d12ab2e9cdf9	23114	379	null
1013	3028ab4b-9cd9-4d60-b6ad-b87e896c5af9	23114	21	null
1014	7d4c2e91-dbb0-4820-91e2-be1e7297ab94	14807	23659	null
1015	8034d362-9f1b-43b3-8399-c1344b16dc61	79	11582	null
1016	01ea7609-b29b-4957-81c7-fdd2f2f32148	23114	22	null
1017	24d0f1bf-2b25-476b-bbce-82d2fd3bd005	1094	10816	null
1018	8ad609af-ca89-41e8-beb3-afb5319413d0	14807	10551	null
1019	cb0a05b8-70a5-434e-9a9a-b061679acc7d	1095	8747	null
1020	8fedca7e-f34d-4f33-a5e3-9e63fd786ba0	14807	10552	null
1021	ccc2e144-ee42-4ecf-8d00-616f56622397	23622	23696	null
1022	ea041979-fd9f-4402-b8ac-35cbdb7572b7	1091	15418	null
1023	7a64c93f-c866-46bd-bc9d-60037878ade1	1090	23	null
1024	954054e3-0d1b-423a-8802-8bb9cb932b5a	1090	21635	null
1025	9b543122-a663-477e-8f93-f278f919b98b	14969	25	null
1026	9633f32d-41a8-4b92-b1b0-9443954c2d98	14808	9381	null
1027	a40dd937-2d79-4fe5-a341-c6c891a2ad59	14992	26	null
1028	1f40d492-cac3-4820-a51b-726ddb0d31c6	14969	8767	null
1029	91888105-2fd6-43fb-8d5b-73f5633f51a8	1090	27	null
1030	386b2160-c782-4ccf-80bd-24825d03e39d	23134	9413	null
1031	ab7eb792-2739-4bd7-a7c1-d1073d00b3b6	23622	11587	null
1032	78db2d0a-5c3a-470b-98a3-aec362d3b182	23134	9412	null
1033	071f3da7-7b19-45f2-85a7-dda948c84566	23622	11588	null
1034	b27f26c9-730f-41d2-b93f-fef9d9e1df07	14807	23139	null
1035	2d4a4e31-bd21-4ee9-8c32-f364658156d7	1087	28	null
1036	e412b643-5d33-444e-ae67-12999ea89bbb	14808	9581	null
1037	4de0624d-224d-41af-9efe-688e4a8bb5f6	1089	29	null
1038	2bc89f03-a637-4281-a312-927b1d5abbf3	1094	30	null
1039	efb0f7e6-6ca0-40a4-8a79-a38bb897dbad	273	14810	null
1040	5d6af6c8-1e9a-41a0-8aa6-b47d79437d8e	1089	31	null
1041	9bca77d5-2832-4f1c-837f-c6d355a40a45	14450	9766	null
