MappingID	MappingGUID	Objecttype	Attribuut1	Domeinwaarde1	Attribuut2	Domeinwaarde2	Attribuut3	Domeinwaarde3	RelatieInformatie	refInformatiemodel	refObjecttype	refAttribuut1	refDomeinwaarde1	refAttribuut2	refDomeinwaarde2	refAttribuut3	refDomeinwaarde3	Toelichting	Wijzigingsdatum
99	fcc09ea1-3f29-4cfc-90c9-a397222468cd	84	null	null	null	null	null	null	14786	5	17	1	149	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
100	f564f12b-9abe-4614-b1be-1611c6b2262e	85	null	null	null	null	null	null	14786	5	28	31	150	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
101	36a48203-a08e-49ea-9cfa-e098a36c4281	86	null	null	null	null	null	null	14786	5	976	22	159	null	null	null	null	null	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
102	0b30977d-2abc-4cb0-a6a8-dd6952271129	87	null	null	null	null	null	null	14786	5	23	31	160	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
103	16cae92c-4554-4abe-8680-42c6718767ac	88	null	null	null	null	null	null	14786	5	34	31	163	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
104	d5387cfb-499e-4d89-99c7-27e4d45c83b7	89	null	null	null	null	null	null	14786	5	32	31	164	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
105	b6c3cbc1-3ef7-407a-8d38-7c701e132337	90	null	null	null	null	null	null	14786	5	25	31	166	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
107	ab34f242-48c7-4634-be5d-161ccbb27320	91	null	null	null	null	null	null	14786	5	9	19	168	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
108	2f27b68e-7069-40fe-be69-2279090fb6b2	92	null	null	null	null	null	null	14786	5	5	22	169	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
109	0a38ca41-1e4a-4a55-8ecf-af0402dcb730	93	null	null	null	null	null	null	14786	5	30	22	172	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
111	0aadefbe-c26a-46e5-be70-e8a4bbf216ea	95	null	null	null	null	null	null	14786	5	26	31	176	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
112	f42c5fb9-c990-49c7-b15e-ae0566aa2ab3	96	null	null	null	null	null	null	14786	5	34	22	177	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
113	0a423be0-1e38-4962-bfcb-6cecc4c88be3	97	null	null	null	null	null	null	14786	5	28	22	178	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
114	0c529225-a92d-4285-a654-d8b5f2d6a79e	98	null	null	null	null	null	null	14786	5	28	22	180	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
115	47bc57ff-bd53-4249-84f5-9ce36868dac9	99	null	null	null	null	null	null	14786	5	9	22	190	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
116	be9fe72f-10a2-4115-8657-9b3d2ed450c7	100	null	null	null	null	null	null	14786	5	9	22	191	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
117	355bbdf0-7cf0-481d-98d0-b459ebc7a9b1	8915	15578	8329	null	null	null	null	14786	5	14	13	43	15	192	6	195	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
118	a34b2ecf-12a2-46a4-bbdd-5b4fec843089	8917	15578	8329	null	null	null	null	14786	5	14	13	43	15	192	6	194	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
119	650d82f5-61e3-4ec8-b14c-37d647b7b2f9	8597	15578	8329	null	null	null	null	14786	5	14	13	43	15	192	6	198	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
120	c004ff4d-3bdb-40f9-baf0-7bcfb318629e	8656	375	8920	15578	8329	null	null	14786	5	14	13	43	15	192	6	199	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
121	8f85af9a-599b-4b2f-a69f-5f573495d002	8656	375	13756	15578	8329	null	null	14786	5	14	13	43	15	192	6	197	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
122	e58dd77e-52b8-4288-a576-978fc5612fd8	8597	375	8593	15578	8329	null	null	14786	5	14	13	43	15	192	6	193	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
123	efc3c6c9-1a83-43af-ab66-104815542b6f	8656	375	8920	15578	9668	null	null	14786	5	14	20	66	15	192	6	199	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
124	1d15f234-ad93-4b9c-bf77-50046bb6b3f2	8597	15578	9668	null	null	null	null	14786	5	14	20	66	15	192	6	198	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
125	326e9978-e428-48c1-8c1a-eb9fc734c994	8656	375	13756	15578	9668	null	null	14786	5	14	20	66	15	192	6	197	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
126	7857a2ed-5e35-4b61-8364-85bda7b505f2	8915	15578	9668	null	null	null	null	14786	5	14	20	66	15	192	6	195	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
127	0d7d67d9-6ca3-450a-ba76-afb7b9949d9d	8917	15578	9668	null	null	null	null	14786	5	14	20	66	15	192	6	194	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
128	8625b252-8e14-4b5e-869f-3d112f34deb8	8597	375	8593	15578	9668	null	null	14786	5	14	20	66	15	192	6	193	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
129	1c755d01-7d70-4632-b3da-2107e96464dc	8597	375	8593	null	null	null	null	14786	5	3	15	192	6	193	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
130	0b8db167-1dd0-45bd-aa12-71f6978e78c3	8597	null	null	null	null	null	null	14786	5	3	15	192	6	198	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
131	12cbc9d4-8f43-4aed-9602-c0e02b81a22c	8915	null	null	null	null	null	null	14786	5	3	15	192	6	195	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
132	4ef33f6a-764b-4637-a12a-a2f03a105619	8917	null	null	null	null	null	null	14786	5	3	15	192	6	194	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
133	58e68adb-2056-4604-a9f4-ff39257379ca	8656	375	8920	null	null	null	null	14786	5	3	15	192	6	199	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
134	e4d37372-c3f3-4457-9b00-0e88c51651f0	8656	375	13756	null	null	null	null	14786	5	3	15	192	6	197	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
136	624039c7-90d3-4072-ba75-4675b7b031cf	8914	null	null	null	null	null	null	14786	5	3	21	196	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
137	0f5aaf15-2720-477e-ac5d-6c3d532bfc4c	8914	null	null	null	null	null	null	14786	5	30	31	202	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
138	117dc0f4-fd02-4334-a11a-7da52fc713c0	8915	15578	8298	null	null	null	null	14786	5	13	19	308	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
139	f455c3f3-b54c-4efe-b512-2156c8d024bf	8597	375	8593	15578	8336	null	null	14786	5	14	13	488	15	192	6	193	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
140	77e5556c-0379-4d39-9413-3b843332d8e3	8656	375	13756	15578	8336	null	null	14786	5	14	13	488	15	192	6	197	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
141	8717c03a-fe60-429e-bc8f-60c8129a587d	8656	375	8920	15578	8336	null	null	14786	5	14	13	488	15	192	6	199	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
142	d17ed871-46e8-4a59-bdbe-e456c934950c	8597	15578	8336	null	null	null	null	14786	5	14	13	488	15	192	6	198	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
143	9ba551b7-3686-46d3-afe7-8202c61f6fec	8915	15578	8336	null	null	null	null	14786	5	14	13	488	15	192	6	195	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
144	b95e4842-8dbf-4daa-a1a6-bda6eaca4077	8917	15578	8336	null	null	null	null	14786	5	14	13	488	15	192	6	194	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
145	6a882049-46c0-4411-9cf8-25aca0e3b35b	102	null	null	null	null	null	null	14786	5	7	22	200	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
146	a56c690f-2cea-43fc-8fbd-5a68b89155d0	103	null	null	null	null	null	null	14786	5	5	22	201	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
147	28c62ed8-22b3-4eb2-8b59-822e4f8760b6	104	null	null	null	null	null	null	14786	5	30	22	203	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
148	55f7ba93-b1a8-4bfe-b1c3-3f8f3d7a6e7f	105	null	null	null	null	null	null	14786	5	5	31	84	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
149	20c41b6a-93af-4d8e-a0a8-f00ab9a2c3a8	106	null	null	null	null	null	null	14786	5	26	31	148	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
150	e6e64095-c7b6-4c1d-a343-fb12929473fb	107	null	null	null	null	null	null	14786	5	5	22	211	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
151	acc4202d-2504-49bc-8cbe-d536a8889590	108	375	8763	null	null	null	null	14786	5	25	31	110	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
