Parent;Child
Put;Duikerput
Stelsel;Duikerstelsel
Constructieonderdeel;Duikschot
Groenobject;Duin
Scheiding;Duinbescherming
Watervlakte;Duinmeer
Beek;Duinrel
Gemaal;DWA gemaal
Perceelaansluitleiding;DWA perceelaansluitleiding
Gemaal;DWA+HWA-gemaal
Faunameubilair;Dwangvleugel
Tunneldeel;Dwarsbuis
Informatiepaneel;Dynamisch informatiepaneel
Functie;Dynamisch remmen van verkeerssnelheid
Informatiepaneel;Dynamische snelheidsindicator
Slak;E-bodemas
Overbrugging;Ecoduct
Ecologische zone;Ecologisch perceel
Functionele zonering;Ecologische zone
Topologisch element;Edge
Speeltoestel;Educatietoestel
Faunavoorziening;Eekhoornbrug
Faunaverblijfplaats;Eendenkorf
Holle leiding;Effluentleiding
Faunaverblijfplaats;Egelhuisje
Rol;Eigenaar
Vertex;Eindpunt leiding
Vertex;Eindpunt onderdeel
Kast;Elektriciteitskast
Constructieonderdeel;Elektronisch component
Speeltoestel;Elektronisch toestel
Overig materiaal;Elementenbestrating
Verharding;Elementenverharding
Spoorzone;Emplacement
Gebouw;Energiecentrale
Rol;Energieleverancier
Markeringmateriaal;Engineer Grade retroreflecterende folie
Schuif;Enkelkerende spindelschuif
Kunststof;Epoxy
Isolatiemateriaal;EPS
Isolatiemateriaal;EPS hardschuim
Aansluitput;Erfafscheidingsput
Kast;Evenementenkast
Recreatiezone;Evenemententerrein
Speelterrein;Evenwichtsparcours
Rol;Exploitant
Kolk;Explosievrije kolk
Overstortconstructie;Externe overstortconstructie
Overstortput;Externe overstortput
Gebouw;Fabriek
Gebouw;Fabrieksschoorsteen
Rol;Fabrikant
Functie;Faciliteren van culturele activiteiten
Functie;Faciliteren van klimmen
Functie;Faciliteren van onderwijs
Functie;Faciliteren van recreatie
Functie;Faciliteren van religieuze activiteiten
Faunavoorziening;Faunaduiker
Faunavoorziening;Faunagoot
Put;Fauna-inspectieput
Straatmeubilair;Faunameubilair
Faunameubilair;Faunapoort
Hek;Faunaraster
Faunavoorziening;Faunarichel
Faunavoorziening;Faunatunnel
Faunavoorziening;Fauna-uittreedplaats
Straatmeubilair;Faunaverblijfplaats
Waterstaatkundig kunstwerk;Faunavoorziening
Armatuur;Feestverlichting
Fietsparkeervoorziening;Fietsabri
Fietsparkeervoorziening;Fietsbeugel
Sportveld;Fietscrossbaan
Fietsparkeervoorziening;Fietsenkluis
Fietsparkeervoorziening;Fietsenrek
Fietsparkeervoorziening;Fietsenstalling
Fietsparkeervoorziening;Fietsklem
Verkeerskundige zone;Fietspad
Straatmeubilair;Fietsparkeervoorziening
Straatmeubilair;Fietspomp
